Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"1339","THE PEOPLES INSURANCE CO (GROUP)","Financials","Aktien","467.875,13","0,04","467.875,13","1.525.000,00","0,31","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"OPAP","GREEK ORGANISATION OF FOOTBALL PRO","Zyklische Konsumgüter ","Aktien","466.770,88","0,04","466.770,88","35.870,00","13,01","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"VBBR3","VIBRA ENERGIA SA","Zyklische Konsumgüter ","Aktien","466.360,27","0,04","466.360,27","106.532,00","4,38","Brasilien","XBSP","BRL"
"ZLAB","ZAI LABORATORY ADR REPRESENTING LT","Gesundheitsversorgung","Aktien","464.411,00","0,04","464.411,00","13.082,00","35,50","China","NASDAQ","USD"
"AC*","ARCA CONTINENTAL","Nichtzyklische Konsumgüter","Aktien","462.052,25","0,04","462.052,25","74.424,00","6,21","Mexiko","Bolsa Mexicana De Valores","MXN"
"PEL","PIRAMAL ENTERPRISES LTD","Financials","Aktien","459.450,04","0,04","459.450,04","17.585,00","26,13","Indien","National Stock Exchange Of India","INR"
"2350","SAUDI KAYAN PETROCHEMICAL","Materialien","Aktien","458.128,77","0,04","458.128,77","78.983,00","5,80","Saudi-Arabien","Saudi Stock Exchange","SAR"
"PGN","POLSKIE GORNICTWO NAFTOWE I GAZOWN","Energie","Aktien","457.965,18","0,04","457.965,18","296.406,00","1,55","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"3692","HANSOH PHARMACEUTICAL GROUP LTD","Gesundheitsversorgung","Aktien","457.627,90","0,04","457.627,90","226.000,00","2,02","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PPB","PPB GROUP","Nichtzyklische Konsumgüter","Aktien","457.258,15","0,04","457.258,15","111.460,00","4,10","Malaysia","Bursa Malaysia","MYR"
"TEL","PLDT INC","Kommunikation","Aktien","456.186,66","0,04","456.186,66","12.895,00","35,38","Philippinen","Philippine Stock Exchange Inc.","PHP"
"TME","TENCENT MUSIC ENTERTAINMENT GROUP","Kommunikation","Aktien","455.758,90","0,04","455.758,90","115.382,00","3,95","China","New York Stock Exchange Inc.","USD"
"VIVT3","TELEFONICA BRASIL SA","Kommunikation","Aktien","454.646,91","0,04","454.646,91","46.672,00","9,74","Brasilien","XBSP","BRL"
"2238","GUANGZHOU AUTOMOBILE GROUP LTD H","Zyklische Konsumgüter ","Aktien","452.614,30","0,04","452.614,30","533.226,00","0,85","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"263750","PEARLABYSS CORP","Kommunikation","Aktien","451.947,08","0,04","451.947,08","5.312,00","85,08","Korea","Korea Exchange (Kosdaq)","KRW"
"1209","CHINA RESOURCES MIXC LIFESTYLE SER","Immobilien","Aktien","451.358,88","0,04","451.358,88","97.000,00","4,65","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"003670","POSCO CHEMICAL LTD","Materialien","Aktien","450.800,73","0,04","450.800,73","5.324,00","84,67","Korea","Korea Exchange (Stock Market)","KRW"
"086280","HYUNDAI GLOVIS LTD","Industrie","Aktien","450.802,36","0,04","450.802,36","3.238,00","139,22","Korea","Korea Exchange (Stock Market)","KRW"
"1080","ARAB NATIONAL BANK","Financials","Aktien","450.319,55","0,04","450.319,55","62.802,00","7,17","Saudi-Arabien","Saudi Stock Exchange","SAR"
"IOICORP","IOI CORPORATION","Nichtzyklische Konsumgüter","Aktien","449.963,13","0,04","449.963,13","438.217,00","1,03","Malaysia","Bursa Malaysia","MYR"
"AMBUJACEM","AMBUJA CEMENTS LTD","Materialien","Aktien","447.997,92","0,04","447.997,92","116.591,00","3,84","Indien","National Stock Exchange Of India","INR"
"005387","HYUNDAI MOTOR S2 PREF","Zyklische Konsumgüter ","Aktien","446.506,82","0,04","446.506,82","6.377,00","70,02","Korea","Korea Exchange (Stock Market)","KRW"
"GRUMAB","GRUMA","Nichtzyklische Konsumgüter","Aktien","446.133,51","0,04","446.133,51","36.785,00","12,13","Mexiko","Bolsa Mexicana De Valores","MXN"
"071050","KOREA INVESTMENT HOLDINGS LTD","Financials","Aktien","445.658,86","0,04","445.658,86","6.973,00","63,91","Korea","Korea Exchange (Stock Market)","KRW"
"CPF.R","CHAROEN POKPHAND FOODS NON-VOTING","Nichtzyklische Konsumgüter","Aktien","444.666,35","0,04","444.666,35","619.310,00","0,72","Thailand","Stock Exchange Of Thailand","THB"
"2600","ALUMINUM CORPORATION OF CHINA CORP","Materialien","Aktien","444.381,80","0,04","444.381,80","706.549,00","0,63","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"RMI","RAND MERCHANT INSURANCE HOLDING LT","Financials","Aktien","441.912,23","0,04","441.912,23","141.672,00","3,12","Südafrika","Johannesburg Stock Exchange","ZAR"
"CDR","CD PROJEKT SA","Kommunikation","Aktien","441.455,59","0,04","441.455,59","12.116,00","36,44","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"LREN3","LOJAS RENNER SA","Zyklische Konsumgüter ","Aktien","439.598,82","0,04","439.598,82","93.524,00","4,70","Brasilien","XBSP","BRL"
"3898","ZHUZHOU CRRC TIMES ELECTRIC LTD H","Industrie","Aktien","438.517,88","0,04","438.517,88","99.000,00","4,43","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SCB.R","SIAM COMMERCIAL BANK NON-VOTING DR","Financials","Aktien","437.421,53","0,04","437.421,53","126.082,00","3,47","Thailand","Stock Exchange Of Thailand","THB"
"NRP","NEPI ROCKCASTLE PLC","Immobilien","Aktien","436.524,94","0,04","436.524,94","72.728,00","6,00","Südafrika","Johannesburg Stock Exchange","ZAR"
"CENCOSUD","CENCOSUD SA","Nichtzyklische Konsumgüter","Aktien","435.405,86","0,04","435.405,86","248.374,00","1,75","Chile","Santiago Stock Exchange","CLP"
"SBICARD","SBI CARDS & PAYMENT SERVICES LTD","Financials","Aktien","434.569,43","0,04","434.569,43","41.200,00","10,55","Indien","National Stock Exchange Of India","INR"
"3311","CHINA STATE CONSTRUCTION INTERNATI","Industrie","Aktien","433.551,50","0,04","433.551,50","323.000,00","1,34","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ISA","INTERCONEXION ELECTRICA SA","Versorger","Aktien","433.170,23","0,04","433.170,23","70.172,00","6,17","Kolumbien","Bolsa De Valores De Colombia","COP"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Nichtzyklische Konsumgüter","Aktien","430.708,63","0,04","430.708,63","83.838,00","5,14","Mexiko","Bolsa Mexicana De Valores","MXN"
"KLK","KUALA LUMPUR KEPONG","Nichtzyklische Konsumgüter","Aktien","429.810,76","0,04","429.810,76","68.700,00","6,26","Malaysia","Bursa Malaysia","MYR"
"656","FOSUN INTERNATIONAL LTD","Industrie","Aktien","428.209,04","0,04","428.209,04","433.900,00","0,99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BTS.R","BTS GROUP HOLDINGS NON-VOTING DR P","Industrie","Aktien","426.815,75","0,04","426.815,75","1.529.500,00","0,28","Thailand","Stock Exchange Of Thailand","THB"
"000100","YUHAN CORP","Gesundheitsversorgung","Aktien","423.146,59","0,03","423.146,59","8.854,00","47,79","Korea","Korea Exchange (Stock Market)","KRW"
"AUROPHARMA","AUROBINDO PHARMA LTD","Gesundheitsversorgung","Aktien","422.290,75","0,03","422.290,75","51.115,00","8,26","Indien","National Stock Exchange Of India","INR"
"CSAN3","COSAN INDUSTRIA E COMERCIO SA","Energie","Aktien","422.004,51","0,03","422.004,51","96.662,00","4,37","Brasilien","XBSP","BRL"
"RAIL3","RUMO SA","Industrie","Aktien","419.547,37","0,03","419.547,37","130.319,00","3,22","Brasilien","XBSP","BRL"
"005830","DB INSURANCE LTD","Financials","Aktien","417.682,88","0,03","417.682,88","8.710,00","47,95","Korea","Korea Exchange (Stock Market)","KRW"
"ALPHA","ALPHA SERVICES AND HOLDINGS SA","Financials","Aktien","417.577,57","0,03","417.577,57","378.600,00","1,10","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"1347","HUA HONG SEMICONDUCTOR LTD","IT","Aktien","417.258,97","0,03","417.258,97","97.000,00","4,30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"COLPAL","COLGATE PALMOLIVE INDIA LTD","Nichtzyklische Konsumgüter","Aktien","417.137,12","0,03","417.137,12","21.263,00","19,62","Indien","National Stock Exchange Of India","INR"
"032640","LG UPLUS CORP","Kommunikation","Aktien","415.794,42","0,03","415.794,42","37.690,00","11,03","Korea","Korea Exchange (Stock Market)","KRW"
"FALABELLA","FALABELLA SACI SA","Zyklische Konsumgüter ","Aktien","414.698,55","0,03","414.698,55","136.944,00","3,03","Chile","Santiago Stock Exchange","CLP"
"DIALOG","DIALOG GROUP","Energie","Aktien","413.169,48","0,03","413.169,48","629.182,00","0,66","Malaysia","Bursa Malaysia","MYR"
"BAAKOMB","KOMERCNI BANK","Financials","Aktien","412.831,53","0,03","412.831,53","12.547,00","32,90","Tschechien","Prague Stock Exchange","CZK"
"ENELAM","ENEL AMERICAS SA","Versorger","Aktien","412.027,92","0,03","412.027,92","3.551.091,00","0,12","Chile","Santiago Stock Exchange","CLP"
"AEV","ABOITIZ EQUITY VENTURES PHP1 INC","Industrie","Aktien","410.111,24","0,03","410.111,24","359.770,00","1,14","Philippinen","Philippine Stock Exchange Inc.","PHP"
"LPP","LPP SA","Zyklische Konsumgüter ","Aktien","409.912,60","0,03","409.912,60","189,00","2.168,85","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"SPL","SANTANDER BANK POLSKA SA","Financials","Aktien","409.677,45","0,03","409.677,45","6.347,00","64,55","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"1336","NEW CHINA LIFE INSURANCE COMPANY L","Financials","Aktien","408.612,23","0,03","408.612,23","147.300,00","2,77","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3606","FUYAO GLASS INDUSTRY GROUP LTD H","Zyklische Konsumgüter ","Aktien","408.472,89","0,03","408.472,89","101.600,00","4,02","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9904","POU CHEN CORP","Zyklische Konsumgüter ","Aktien","408.305,99","0,03","408.305,99","377.038,00","1,08","Taiwan","Taiwan Stock Exchange","TWD"
"1918","SUNAC CHINA HOLDINGS LTD","Immobilien","Aktien","407.569,09","0,03","407.569,09","545.000,00","0,75","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MUTHOOTFIN","MUTHOOT FINANCE LTD","Financials","Aktien","406.823,35","0,03","406.823,35","22.320,00","18,23","Indien","National Stock Exchange Of India","INR"
"MISC","MISC","Industrie","Aktien","406.406,61","0,03","406.406,61","232.504,00","1,75","Malaysia","Bursa Malaysia","MYR"
"006360","GS ENGINEERING & CONSTRUCTION CORP","Industrie","Aktien","406.324,20","0,03","406.324,20","10.779,00","37,70","Korea","Korea Exchange (Stock Market)","KRW"
"QIIK","QATAR INTERNATIONAL ISLAMIC BANK","Financials","Aktien","405.044,26","0,03","405.044,26","143.769,00","2,82","Qatar","Qatar Exchange","QAR"
"GODREJPROP","GODREJ PROPERTIES LTD","Immobilien","Aktien","403.843,26","0,03","403.843,26","20.765,00","19,45","Indien","National Stock Exchange Of India","INR"
"6669","WIWYNN CORPORATION CORP","IT","Aktien","403.823,77","0,03","403.823,77","12.000,00","33,65","Taiwan","Taiwan Stock Exchange","TWD"
"GENTING","GENTING","Zyklische Konsumgüter ","Aktien","403.556,16","0,03","403.556,16","372.245,00","1,08","Malaysia","Bursa Malaysia","MYR"
"HINDPETRO","HINDUSTAN PETROLEUM CORP LTD","Energie","Aktien","402.911,80","0,03","402.911,80","110.135,00","3,66","Indien","National Stock Exchange Of India","INR"
"IRCTC","INDIAN RAILWAY CATERING AND TOURIS","Industrie","Aktien","402.809,86","0,03","402.809,86","40.544,00","9,94","Indien","National Stock Exchange Of India","INR"
"ALE","ALLEGRO SA","Zyklische Konsumgüter ","Aktien","401.491,21","0,03","401.491,21","59.563,00","6,74","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"097950","CJ CHEILJEDANG CORP","Nichtzyklische Konsumgüter","Aktien","399.741,50","0,03","399.741,50","1.385,00","288,62","Korea","Korea Exchange (Stock Market)","KRW"
"011780","KUMHO PETRO CHEMICAL LTD","Materialien","Aktien","398.901,69","0,03","398.901,69","3.234,00","123,35","Korea","Korea Exchange (Stock Market)","KRW"
"6886","HUATAI SECURITIES LTD H","Financials","Aktien","398.432,23","0,03","398.432,23","260.600,00","1,53","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"LH.R","LAND AND HOUSE PUBLIC NON-VOTING D","Immobilien","Aktien","397.821,86","0,03","397.821,86","1.425.600,00","0,28","Thailand","Stock Exchange Of Thailand","THB"
"SIMEPLT","SIME DARBY PLANTATION","Nichtzyklische Konsumgüter","Aktien","397.588,73","0,03","397.588,73","321.429,00","1,24","Malaysia","Bursa Malaysia","MYR"
"BANDHANBNK","BANDHAN BANK LTD","Financials","Aktien","396.992,62","0,03","396.992,62","113.668,00","3,49","Indien","National Stock Exchange Of India","INR"
"MOTHERSUMI","MOTHERSON SUMI SYSTEMS LTD","Zyklische Konsumgüter ","Aktien","396.785,15","0,03","396.785,15","228.331,00","1,74","Indien","National Stock Exchange Of India","INR"
"2356","INVENTEC CORP","IT","Aktien","396.749,44","0,03","396.749,44","449.000,00","0,88","Taiwan","Taiwan Stock Exchange","TWD"
"KLBF","KALBE FARMA","Gesundheitsversorgung","Aktien","395.929,11","0,03","395.929,11","3.522.659,00","0,11","Indonesien","Indonesia Stock Exchange","IDR"
"7020","ETIHAD ETISALAT","Kommunikation","Aktien","395.832,60","0,03","395.832,60","40.684,00","9,73","Saudi-Arabien","Saudi Stock Exchange","SAR"
"NESTLE","NESTLE MALAYSIA","Nichtzyklische Konsumgüter","Aktien","394.746,58","0,03","394.746,58","12.200,00","32,36","Malaysia","Bursa Malaysia","MYR"
"4958","ZHEN DING TECHNOLOGY HOLDING LTD","IT","Aktien","394.453,24","0,03","394.453,24","117.709,00","3,35","Taiwan","Taiwan Stock Exchange","TWD"
"MAXIS","MAXIS","Kommunikation","Aktien","394.421,11","0,03","394.421,11","396.100,00","1,00","Malaysia","Bursa Malaysia","MYR"
"NTCO3","NATURA CO HOLDING SA","Nichtzyklische Konsumgüter","Aktien","393.529,45","0,03","393.529,45","91.425,00","4,30","Brasilien","XBSP","BRL"
"047810","KOREA AEROSPACE INDUSTRIES LTD","Industrie","Aktien","392.086,55","0,03","392.086,55","12.911,00","30,37","Korea","Korea Exchange (Stock Market)","KRW"
"2105","CHENG SHIN RUBBER INDUSTRY LTD","Zyklische Konsumgüter ","Aktien","390.718,97","0,03","390.718,97","318.290,00","1,23","Taiwan","Taiwan Stock Exchange","TWD"
"BIMAS.E","BIM BIRLESIK MAGAZALAR A","Nichtzyklische Konsumgüter","Aktien","390.742,76","0,03","390.742,76","76.245,00","5,12","Türkei","Istanbul Stock Exchange","TRY"
"RHBBANK","RHB BANK","Financials","Aktien","389.690,83","0,03","389.690,83","279.919,00","1,39","Malaysia","Bursa Malaysia","MYR"
"2049","HIWIN TECHNOLOGIES CORP","Industrie","Aktien","388.743,77","0,03","388.743,77","43.994,00","8,84","Taiwan","Taiwan Stock Exchange","TWD"
"BERGEPAINT","BERGER PAINTS INDIA LTD","Materialien","Aktien","386.997,37","0,03","386.997,37","43.609,00","8,87","Indien","National Stock Exchange Of India","INR"
"QGTS","QATAR GAS TRANSPORT COMPANY LTD","Energie","Aktien","384.729,71","0,03","384.729,71","383.335,00","1,00","Qatar","Qatar Exchange","QAR"
"BVN","BUENAVENTURA ADR REPRESENTING","Materialien","Aktien","384.409,72","0,03","384.409,72","35.138,00","10,94","Peru","New York Stock Exchange Inc.","USD"
"QFLS","QATAR FUEL","Energie","Aktien","382.895,15","0,03","382.895,15","75.455,00","5,07","Qatar","Qatar Exchange","QAR"
"ICICIPRULI","ICICI PRUDENTIAL LIFE INSURANCE CO","Financials","Aktien","379.806,39","0,03","379.806,39","63.023,00","6,03","Indien","National Stock Exchange Of India","INR"
"361610","SK IE TECHNOLOGY LTD","Materialien","Aktien","378.870,75","0,03","378.870,75","4.082,00","92,81","Korea","Korea Exchange (Stock Market)","KRW"
"SCGP.R","SCG PACKAGING PCL NON-VOTING DR","Materialien","Aktien","378.901,88","0,03","378.901,88","226.300,00","1,67","Thailand","Stock Exchange Of Thailand","THB"
"016360","SAMSUNG SECURITIES LTD","Financials","Aktien","378.630,78","0,03","378.630,78","11.139,00","33,99","Korea","Korea Exchange (Stock Market)","KRW"
"OR.R","PTT OIL AND RETAIL BUSINESS PCL NO","Zyklische Konsumgüter ","Aktien","378.384,49","0,03","378.384,49","501.700,00","0,75","Thailand","Stock Exchange Of Thailand","THB"
"LUPIN","LUPIN LTD","Gesundheitsversorgung","Aktien","377.649,77","0,03","377.649,77","38.965,00","9,69","Indien","National Stock Exchange Of India","INR"
"BALKRISIND","BALKRISHNA INDUSTRIES LTD","Zyklische Konsumgüter ","Aktien","377.118,10","0,03","377.118,10","14.691,00","25,67","Indien","National Stock Exchange Of India","INR"
"KLBN11","KLABIN UNITS SA","Materialien","Aktien","376.354,22","0,03","376.354,22","74.954,00","5,02","Brasilien","XBSP","BRL"
"1268","CHINA MEIDONG AUTO HOLDINGS LTD","Zyklische Konsumgüter ","Aktien","376.115,36","0,03","376.115,36","94.000,00","4,00","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TOPGLOV","TOP GLOVE CORPORATION","Gesundheitsversorgung","Aktien","375.904,77","0,03","375.904,77","920.582,00","0,41","Malaysia","Bursa Malaysia","MYR"
"161390","HANKOOK TIRE & TECHNOLOGY LTD","Zyklische Konsumgüter ","Aktien","374.657,85","0,03","374.657,85","13.655,00","27,44","Korea","Korea Exchange (Stock Market)","KRW"
"RDOR3","REDE DOR SAO LUIZ SA","Gesundheitsversorgung","Aktien","372.943,79","0,03","372.943,79","36.739,00","10,15","Brasilien","XBSP","BRL"
"028300","HLB INC","Zyklische Konsumgüter ","Aktien","372.232,53","0,03","372.232,53","14.941,00","24,91","Korea","Korea Exchange (Kosdaq)","KRW"
"867","CHINA MEDICAL SYSTEM HOLDINGS LTD","Gesundheitsversorgung","Aktien","371.744,40","0,03","371.744,40","225.777,00","1,65","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SIEMENS","SIEMENS LTD","Industrie","Aktien","371.221,44","0,03","371.221,44","12.194,00","30,44","Indien","National Stock Exchange Of India","INR"
"CSNA3","COMPANHIA SIDERURGICA NACIONAL","Materialien","Aktien","370.080,58","0,03","370.080,58","67.969,00","5,44","Brasilien","XBSP","BRL"
"EUROB","EUROBANK HOLDINGS SA","Financials","Aktien","369.670,50","0,03","369.670,50","403.245,00","0,92","Griechenland","Athens Exchange S.A. Cash Market","EUR"
"INDIGO","INTERGLOBE AVIATION LTD","Industrie","Aktien","368.513,43","0,03","368.513,43","15.714,00","23,45","Indien","National Stock Exchange Of India","INR"
"139480","E-MART INC","Nichtzyklische Konsumgüter","Aktien","366.461,23","0,03","366.461,23","3.359,00","109,10","Korea","Korea Exchange (Stock Market)","KRW"
"383220","F&F LTD","Zyklische Konsumgüter ","Aktien","366.277,22","0,03","366.277,22","552,00","663,55","Korea","Korea Exchange (Stock Market)","KRW"
"2354","FOXCONN TECHNOLOGY LTD","IT","Aktien","366.166,25","0,03","366.166,25","164.769,00","2,22","Taiwan","Taiwan Stock Exchange","TWD"
"241","ALIBABA HEALTH INFORMATION TECH LT","Zyklische Konsumgüter ","Aktien","365.901,36","0,03","365.901,36","658.000,00","0,56","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"267250","HYUNDAI HEAVY INDUSTRIES HOLDINGS","Energie","Aktien","364.592,22","0,03","364.592,22","8.546,00","42,66","Korea","Korea Exchange (Stock Market)","KRW"
"390","CHINA RAILWAY GROUP LTD H","Industrie","Aktien","363.822,77","0,03","363.822,77","641.000,00","0,57","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"008770","HOTEL SHILLA LTDINARY SHARES KOREA","Zyklische Konsumgüter ","Aktien","362.173,82","0,03","362.173,82","5.392,00","67,17","Korea","Korea Exchange (Stock Market)","KRW"
"011790","SKC LTD","Materialien","Aktien","361.989,42","0,03","361.989,42","3.407,00","106,25","Korea","Korea Exchange (Stock Market)","KRW"
"YY","JOYY ADR INC","Kommunikation","Aktien","361.877,02","0,03","361.877,02","9.694,00","37,33","China","NASDAQ","USD"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Nichtzyklische Konsumgüter","Aktien","360.349,75","0,03","360.349,75","272.695,00","1,32","Mexiko","Bolsa Mexicana De Valores","MXN"
"PETRONET","PETRONET LNG LTD","Energie","Aktien","360.390,13","0,03","360.390,13","130.888,00","2,75","Indien","National Stock Exchange Of India","INR"
"1988","CHINA MINSHENG BANKING CORP LTD H","Financials","Aktien","359.371,66","0,03","359.371,66","959.461,00","0,37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"6837","HAITONG SECURITIES COMPANY LTD H","Financials","Aktien","358.691,99","0,03","358.691,99","446.800,00","0,80","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CRC.R","CENTRAL RETAIL CORPORATION PCL NON","Zyklische Konsumgüter ","Aktien","358.561,34","0,03","358.561,34","312.774,00","1,15","Thailand","Stock Exchange Of Thailand","THB"
"BRES","BARWA REAL ESTATE","Immobilien","Aktien","358.397,76","0,03","358.397,76","335.095,00","1,07","Qatar","Qatar Exchange","QAR"
"ACC","ACC LTD","Materialien","Aktien","356.441,53","0,03","356.441,53","13.283,00","26,83","Indien","National Stock Exchange Of India","INR"
"BH.R","BUMRUNGRAD HOSPITAL NON-VOTING DR","Gesundheitsversorgung","Aktien","351.767,10","0,03","351.767,10","69.200,00","5,08","Thailand","Stock Exchange Of Thailand","THB"
"6618","JD HEALTH INTERNATIONAL INC","Zyklische Konsumgüter ","Aktien","350.906,35","0,03","350.906,35","61.000,00","5,75","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"URC","UNIVERSAL ROBINA CORP","Nichtzyklische Konsumgüter","Aktien","349.695,70","0,03","349.695,70","164.450,00","2,13","Philippinen","Philippine Stock Exchange Inc.","PHP"
"6881","CHINA GALAXY SECURITIES LTD H","Financials","Aktien","348.789,41","0,03","348.789,41","643.500,00","0,54","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BHARATFORG","BHARAT FORGE LTD","Zyklische Konsumgüter ","Aktien","347.940,05","0,03","347.940,05","41.617,00","8,36","Indien","National Stock Exchange Of India","INR"
"INARI","INARI AMERTRON","IT","Aktien","347.302,97","0,03","347.302,97","499.800,00","0,69","Malaysia","Bursa Malaysia","MYR"
"354","CHINASOFT INTERNATIONAL LTD","IT","Aktien","347.234,93","0,03","347.234,93","436.000,00","0,80","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"326030","SK BIOPHARMACEUTICALS LTD","Gesundheitsversorgung","Aktien","347.220,84","0,03","347.220,84","4.902,00","70,83","Korea","Korea Exchange (Stock Market)","KRW"
"BCI","BANCO DE CREDITO E INVERSION","Financials","Aktien","346.916,90","0,03","346.916,90","10.391,00","33,39","Chile","Santiago Stock Exchange","CLP"
"024110","INDUSTRIAL BANK OF KOREA","Financials","Aktien","346.976,59","0,03","346.976,59","40.588,00","8,55","Korea","Korea Exchange (Stock Market)","KRW"
"JFC","JOLLIBEE FOODS CORP","Zyklische Konsumgüter ","Aktien","344.991,98","0,03","344.991,98","75.030,00","4,60","Philippinen","Philippine Stock Exchange Inc.","PHP"
"884","CIFI HOLDINGS (GROUP) LTD","Immobilien","Aktien","344.260,73","0,03","344.260,73","577.900,00","0,60","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"ALFAA","ALFA A","Industrie","Aktien","343.492,84","0,03","343.492,84","450.300,00","0,76","Mexiko","Bolsa Mexicana De Valores","MXN"
"902","HUANENG POWER INTERNATIONAL INC H","Versorger","Aktien","343.190,24","0,03","343.190,24","564.000,00","0,61","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"INDF","INDOFOOD SUKSES MAKMUR","Nichtzyklische Konsumgüter","Aktien","341.506,47","0,03","341.506,47","802.751,00","0,43","Indonesien","Indonesia Stock Exchange","IDR"
"SPP","SPAR GROUP LTD","Nichtzyklische Konsumgüter","Aktien","341.562,40","0,03","341.562,40","32.434,00","10,53","Südafrika","Johannesburg Stock Exchange","ZAR"
"MGLU3","MAGAZINE LUIZA SA","Zyklische Konsumgüter ","Aktien","341.355,48","0,03","341.355,48","289.273,00","1,18","Brasilien","XBSP","BRL"
"TUPRS.E","TURKIYE PETROL RAFINERILERI A","Energie","Aktien","341.082,66","0,03","341.082,66","24.550,00","13,89","Türkei","Istanbul Stock Exchange","TRY"
"MBT","METROPOLITAN BANK AND TRUST CO","Financials","Aktien","340.432,30","0,03","340.432,30","322.514,00","1,06","Philippinen","Philippine Stock Exchange Inc.","PHP"
"2280","ALMARAI","Nichtzyklische Konsumgüter","Aktien","339.439,82","0,03","339.439,82","25.935,00","13,09","Saudi-Arabien","Saudi Stock Exchange","SAR"
"PE&OLES*","INDUST PENOLES","Materialien","Aktien","337.063,73","0,03","337.063,73","25.559,00","13,19","Mexiko","Bolsa Mexicana De Valores","MXN"
"BEM.R","BANGKOK EXPRESSWAY AND METRO PCL N","Industrie","Aktien","336.162,91","0,03","336.162,91","1.280.800,00","0,26","Thailand","Stock Exchange Of Thailand","THB"
"035250","KANGWON LAND INC","Zyklische Konsumgüter ","Aktien","333.827,80","0,03","333.827,80","15.328,00","21,78","Korea","Korea Exchange (Stock Market)","KRW"
"IVL.R","INDORAMA VENTURES NON-VOTING DR PC","Materialien","Aktien","333.051,70","0,03","333.051,70","252.339,00","1,32","Thailand","Stock Exchange Of Thailand","THB"
"4190","JARIR MARKETING","Zyklische Konsumgüter ","Aktien","332.412,58","0,03","332.412,58","6.229,00","53,37","Saudi-Arabien","Saudi Stock Exchange","SAR"
"425","MINTH GROUP LTD","Zyklische Konsumgüter ","Aktien","332.268,04","0,03","332.268,04","114.000,00","2,91","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"006800","DAEWOO SECURITIES","Financials","Aktien","330.744,26","0,03","330.744,26","48.304,00","6,85","Korea","Korea Exchange (Stock Market)","KRW"
"358","JIANGXI COPPER LTD H","Materialien","Aktien","330.043,72","0,03","330.043,72","195.000,00","1,69","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GENM","GENTING MALAYSIA","Zyklische Konsumgüter ","Aktien","328.630,51","0,03","328.630,51","464.940,00","0,71","Malaysia","Bursa Malaysia","MYR"
"1313","CHINA RESOURCES CEMENT HOLDINGS LT","Materialien","Aktien","326.714,91","0,03","326.714,91","390.789,00","0,84","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2883","CHINA OILFIELD SERVICES LTD H","Energie","Aktien","326.239,36","0,03","326.239,36","306.000,00","1,07","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AMER3","AMERICANAS SA","Zyklische Konsumgüter ","Aktien","325.380,89","0,03","325.380,89","61.550,00","5,29","Brasilien","XBSP","BRL"
"6862","HAIDILAO INTERNATIONAL HOLDING LTD","Zyklische Konsumgüter ","Aktien","324.935,44","0,03","324.935,44","178.000,00","1,83","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"489","DONGFENG MOTOR GROUP LTD H","Zyklische Konsumgüter ","Aktien","321.678,21","0,03","321.678,21","418.000,00","0,77","China","Hong Kong Exchanges And Clearing Ltd","HKD"
