Fondsposition per,"10.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"PBBANK","PUBLIC BANK","Financials","Aktien","2.693.316,65","0,22","2.693.316,65","2.495.340,00","1,08","Malaysia","Bursa Malaysia","MYR"
"PDD","PINDUODUO ADR REPRESENTING INC","Zyklische Konsumgüter ","Aktien","2.685.862,08","0,22","2.685.862,08","75.108,00","35,76","China","NASDAQ","USD"
"LT","LARSEN AND TOUBRO LTD","Industrie","Aktien","2.676.609,34","0,22","2.676.609,34","118.180,00","22,65","Indien","National Stock Exchange Of India","INR"
"KFH","KUWAIT FINANCE HOUSE","Financials","Aktien","2.662.246,38","0,22","2.662.246,38","808.258,00","3,29","Kuwait","Kuwait Stock Exchange","KWD"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energie","Aktien","2.625.669,28","0,22","2.625.669,28","371.987,00","7,06","Brasilien","XBSP","BRL"
"TLKM","TELEKOMUNIKASI INDONESIA","Kommunikation","Aktien","2.622.355,24","0,22","2.622.355,24","8.491.436,00","0,31","Indonesien","Indonesia Stock Exchange","IDR"
"000270","KIA CORPORATION CORP","Zyklische Konsumgüter ","Aktien","2.606.330,39","0,22","2.606.330,39","45.279,00","57,56","Korea","Korea Exchange (Stock Market)","KRW"
"1109","CHINA RESOURCES LAND LTD","Immobilien","Aktien","2.587.748,45","0,21","2.587.748,45","549.333,00","4,71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"GFI","GOLD FIELDS LTD","Materialien","Aktien","2.581.472,87","0,21","2.581.472,87","152.825,00","16,89","Südafrika","Johannesburg Stock Exchange","ZAR"
"2222","SAUDI ARABIAN OIL","Energie","Aktien","2.544.036,87","0,21","2.544.036,87","232.213,00","10,96","Saudi-Arabien","Saudi Stock Exchange","SAR"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Nichtzyklische Konsumgüter","Aktien","2.525.645,24","0,21","2.525.645,24","330.478,00","7,64","Mexiko","Bolsa Mexicana De Valores","MXN"
"ASIANPAINT","ASIAN PAINTS LTD","Materialien","Aktien","2.495.147,88","0,21","2.495.147,88","65.364,00","38,17","Indien","National Stock Exchange Of India","INR"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Aktien","2.463.709,36","0,20","2.463.709,36","1.825.979,00","1,35","Taiwan","Taiwan Stock Exchange","TWD"
"LI","LI AUTO ADR INC","Zyklische Konsumgüter ","Aktien","2.452.546,35","0,20","2.452.546,35","94.365,00","25,99","China","NASDAQ","USD"
"2603","EVERGREEN MARINE CORP (TAIWAN) LTD","Industrie","Aktien","2.434.379,20","0,20","2.434.379,20","442.386,00","5,50","Taiwan","Taiwan Stock Exchange","TWD"
"1301","FORMOSA PLASTICS CORP","Materialien","Aktien","2.411.048,01","0,20","2.411.048,01","650.960,00","3,70","Taiwan","Taiwan Stock Exchange","TWD"
"2020","ANTA SPORTS PRODUCTS LTD","Zyklische Konsumgüter ","Aktien","2.398.775,29","0,20","2.398.775,29","186.899,00","12,83","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"068270","CELLTRION INC","Gesundheitsversorgung","Aktien","2.372.631,79","0,20","2.372.631,79","16.845,00","140,85","Korea","Korea Exchange (Stock Market)","KRW"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Aktien","2.369.103,00","0,20","2.369.103,00","476.334,00","4,97","Brasilien","XBSP","BRL"
"SBK","STANDARD BANK GROUP","Financials","Aktien","2.357.920,36","0,19","2.357.920,36","222.961,00","10,58","Südafrika","Johannesburg Stock Exchange","ZAR"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Aktien","2.306.467,66","0,19","2.306.467,66","76.359,00","30,21","Korea","Korea Exchange (Stock Market)","KRW"
"IMP","IMPALA PLATINUM LTD","Materialien","Aktien","2.299.383,38","0,19","2.299.383,38","136.318,00","16,87","Südafrika","Johannesburg Stock Exchange","ZAR"
"SOL","SASOL LTD","Materialien","Aktien","2.268.715,68","0,19","2.268.715,68","96.798,00","23,44","Südafrika","Johannesburg Stock Exchange","ZAR"
"2382","SUNNY OPTICAL TECHNOLOGY LTD","IT","Aktien","2.231.991,38","0,18","2.231.991,38","123.131,00","18,13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"MARUTI","MARUTI SUZUKI INDIA LTD","Zyklische Konsumgüter ","Aktien","2.204.322,28","0,18","2.204.322,28","23.323,00","94,51","Indien","National Stock Exchange Of India","INR"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Aktien","2.177.348,40","0,18","2.177.348,40","2.064.403,00","1,05","Taiwan","Taiwan Stock Exchange","TWD"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Aktien","2.168.216,12","0,18","2.168.216,12","94.306,00","22,99","Indien","National Stock Exchange Of India","INR"
"TATASTEEL","TATA STEEL LTD","Materialien","Aktien","2.133.933,07","0,18","2.133.933,07","124.421,00","17,15","Indien","National Stock Exchange Of India","INR"
"TECHM","TECH MAHINDRA LTD","IT","Aktien","2.111.219,51","0,17","2.111.219,51","108.457,00","19,47","Indien","National Stock Exchange Of India","INR"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materialien","Aktien","2.101.509,60","0,17","2.101.509,60","270.050,00","7,78","Indien","National Stock Exchange Of India","INR"
"SSW","SIBANYE STILLWATER LTD","Materialien","Aktien","2.043.504,19","0,17","2.043.504,19","446.896,00","4,57","Südafrika","Johannesburg Stock Exchange","ZAR"
"012330","HYUNDAI MOBIS LTD","Zyklische Konsumgüter ","Aktien","2.023.885,61","0,17","2.023.885,61","11.325,00","178,71","Korea","Korea Exchange (Stock Market)","KRW"
"PTT.R","PTT NON-VOTING DR PCL","Energie","Aktien","2.003.111,09","0,17","2.003.111,09","1.713.500,00","1,17","Thailand","Stock Exchange Of Thailand","THB"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Aktien","1.992.786,06","0,16","1.992.786,06","1.286.202,00","1,55","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"688","CHINA OVERSEAS LAND INVESTMENT LTD","Immobilien","Aktien","1.975.775,32","0,16","1.975.775,32","660.500,00","2,99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Aktien","1.968.316,76","0,16","1.968.316,76","478.176,00","4,12","Brasilien","XBSP","BRL"
"TITAN","TITAN COMPANY LTD","Zyklische Konsumgüter ","Aktien","1.963.243,97","0,16","1.963.243,97","60.704,00","32,34","Indien","National Stock Exchange Of India","INR"
"3711","ASE TECHNOLOGY HOLDING LTD","IT","Aktien","1.962.786,38","0,16","1.962.786,38","553.662,00","3,55","Taiwan","Taiwan Stock Exchange","TWD"
"ZTO","ZTO EXPRESS CAYMAN ADR REPRESENTIN","Industrie","Aktien","1.920.939,00","0,16","1.920.939,00","74.455,00","25,80","China","New York Stock Exchange Inc.","USD"
"086790","HANA FINANCIAL GROUP INC","Financials","Aktien","1.915.162,91","0,16","1.915.162,91","51.529,00","37,17","Korea","Korea Exchange (Stock Market)","KRW"
"CPALL.R","CP ALL NON-VOTING DR PCL","Nichtzyklische Konsumgüter","Aktien","1.912.989,28","0,16","1.912.989,28","964.423,00","1,98","Thailand","Stock Exchange Of Thailand","THB"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Nichtzyklische Konsumgüter","Aktien","1.909.681,33","0,16","1.909.681,33","820.266,00","2,33","Taiwan","Taiwan Stock Exchange","TWD"
"5871","CHAILEASE HOLDING LTD","Financials","Aktien","1.888.434,55","0,16","1.888.434,55","218.958,00","8,62","Taiwan","Taiwan Stock Exchange","TWD"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energie","Aktien","1.885.423,67","0,16","1.885.423,67","4.154.624,00","0,45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"CPI","CAPITEC LTD","Financials","Aktien","1.878.919,74","0,16","1.878.919,74","13.872,00","135,45","Südafrika","Johannesburg Stock Exchange","ZAR"
"7010","SAUDI TELECOM","Kommunikation","Aktien","1.877.935,76","0,16","1.877.935,76","63.355,00","29,64","Saudi-Arabien","Saudi Stock Exchange","SAR"
"857","PETROCHINA LTD H","Energie","Aktien","1.869.002,63","0,15","1.869.002,63","3.646.000,00","0,51","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"SBIN","STATE BANK OF INDIA","Financials","Aktien","1.850.340,75","0,15","1.850.340,75","301.238,00","6,14","Indien","National Stock Exchange Of India","INR"
"TCOM","TRIP COM GROUP ADR LTD","Zyklische Konsumgüter ","Aktien","1.848.580,30","0,15","1.848.580,30","87.115,00","21,22","China","NASDAQ","USD"
"ANG","ANGLOGOLD ASHANTI LTD","Materialien","Aktien","1.840.007,61","0,15","1.840.007,61","71.243,00","25,83","Südafrika","Johannesburg Stock Exchange","ZAR"
"KRW","KRW CASH","Cash und/oder Derivate","Geldmarkt","1.839.776,64","0,15","1.839.776,64","2.259.705.660,00","0,08","Korea","-","KRW"
"2313","SHENZHOU INTERNATIONAL GROUP LTD","Zyklische Konsumgüter ","Aktien","1.832.889,32","0,15","1.832.889,32","141.400,00","12,96","China","Hong Kong Exchanges And Clearing Ltd","HKD"
