Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","1,992,786.06","0.16","1,992,786.06","1,286,202.00","1.55","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"688","CHINA OVERSEAS LAND INVESTMENT LTD","Real Estate","Equity","1,975,775.32","0.16","1,975,775.32","660,500.00","2.99","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","1,968,316.76","0.16","1,968,316.76","478,176.00","4.12","Brazil","XBSP","BRL"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","1,963,243.97","0.16","1,963,243.97","60,704.00","32.34","India","National Stock Exchange Of India","INR"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","1,962,786.38","0.16","1,962,786.38","553,662.00","3.55","Taiwan","Taiwan Stock Exchange","TWD"
"ZTO","ZTO EXPRESS CAYMAN ADR REPRESENTIN","Industrials","Equity","1,920,939.00","0.16","1,920,939.00","74,455.00","25.80","China","New York Stock Exchange Inc.","USD"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","1,915,162.91","0.16","1,915,162.91","51,529.00","37.17","Korea (South)","Korea Exchange (Stock Market)","KRW"
"CPALL.R","CP ALL NON-VOTING DR PCL","Consumer Staples","Equity","1,912,989.28","0.16","1,912,989.28","964,423.00","1.98","Thailand","Stock Exchange Of Thailand","THB"
"1216","UNI-PRESIDENT ENTERPRISES CORP","Consumer Staples","Equity","1,909,681.33","0.16","1,909,681.33","820,266.00","2.33","Taiwan","Taiwan Stock Exchange","TWD"
"5871","CHAILEASE HOLDING LTD","Financials","Equity","1,888,434.55","0.16","1,888,434.55","218,958.00","8.62","Taiwan","Taiwan Stock Exchange","TWD"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","1,885,423.67","0.16","1,885,423.67","4,154,624.00","0.45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
