Fund Holdings as of,"10/Mar/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"9984","SOFTBANK GROUP CORP","Communication","Equity","38,322,521.11","0.09","38,322,521.11","929,722.00","41.22","Japan","Tokyo Stock Exchange","JPY"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","38,308,763.90","0.09","38,308,763.90","56,705.00","675.58","United States","NASDAQ","USD"
"DG","DOLLAR GENERAL CORP","Consumer Discretionary","Equity","38,238,144.00","0.09","38,238,144.00","185,550.00","206.08","United States","New York Stock Exchange Inc.","USD"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","38,237,835.17","0.09","38,237,835.17","490,669.00","77.93","United States","New York Stock Exchange Inc.","USD"
"ILMN","ILLUMINA INC","Health Care","Equity","38,216,188.88","0.09","38,216,188.88","120,922.00","316.04","United States","NASDAQ","USD"
"MET","METLIFE INC","Financials","Equity","38,109,233.64","0.09","38,109,233.64","592,863.00","64.28","United States","New York Stock Exchange Inc.","USD"
"MRNA","MODERNA INC","Health Care","Equity","37,817,872.64","0.09","37,817,872.64","271,057.00","139.52","United States","NASDAQ","USD"
"LONN","LONZA GROUP AG","Health Care","Equity","37,797,322.12","0.09","37,797,322.12","58,096.00","650.60","Switzerland","SIX Swiss Exchange","CHF"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","37,725,125.89","0.09","37,725,125.89","393,011.00","95.99","United States","NASDAQ","USD"
"KER","KERING SA","Consumer Discretionary","Equity","37,660,787.41","0.09","37,660,787.41","61,942.00","608.00","France","Nyse Euronext - Euronext Paris","EUR"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Equity","37,526,572.50","0.08","37,526,572.50","868,507.00","43.21","Hong Kong","Hong Kong Exchanges And Clearing Ltd","HKD"
"MQG","MACQUARIE GROUP LTD DEF","Financials","Equity","37,327,713.61","0.08","37,327,713.61","273,293.00","136.58","Australia","Asx - All Markets","AUD"
"DPW","DEUTSCHE POST AG","Industrials","Equity","37,212,907.20","0.08","37,212,907.20","795,785.00","46.76","Germany","Xetra","EUR"
"EL","ESSILORLUXOTTICA SA","Consumer Discretionary","Equity","37,129,334.44","0.08","37,129,334.44","227,869.00","162.94","France","Nyse Euronext - Euronext Paris","EUR"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","37,104,072.21","0.08","37,104,072.21","440,091.00","84.31","United States","New York Stock Exchange Inc.","USD"
"SRE","SEMPRA","Utilities","Equity","36,708,036.72","0.08","36,708,036.72","236,399.00","155.28","United States","New York Stock Exchange Inc.","USD"
